stab_index,axis_unit,silent_sign,phi0,phi1,phi2,phi3,phi4,phi5,phi6,bit0,bit1,bit2,bit3,bit4,bit5,bit6
0,7,-1,1,2,4,3,5,6,7,1,1,1,0,0,1,1
1,7,1,1,2,4,3,5,6,7,1,1,0,0,1,0,0
2,7,1,1,2,4,3,5,6,7,1,0,1,1,0,0,0
3,7,-1,1,2,4,3,5,6,7,1,0,0,1,1,1,1
4,7,1,1,2,4,3,5,6,7,0,1,1,1,1,1,0
5,7,-1,1,2,4,3,5,6,7,0,1,0,1,0,0,1
6,7,-1,1,2,4,3,5,6,7,0,0,1,0,1,0,1
7,7,1,1,2,4,3,5,6,7,0,0,0,0,0,1,0
40,7,1,1,3,5,2,4,6,7,1,1,1,1,1,0,0
41,7,-1,1,3,5,2,4,6,7,1,1,0,1,0,1,1
42,7,-1,1,3,5,2,4,6,7,1,0,1,0,1,1,1
43,7,1,1,3,5,2,4,6,7,1,0,0,0,0,0,0
44,7,-1,1,3,5,2,4,6,7,0,1,1,0,0,0,1
45,7,1,1,3,5,2,4,6,7,0,1,0,0,1,1,0
46,7,1,1,3,5,2,4,6,7,0,0,1,1,0,1,0
47,7,-1,1,3,5,2,4,6,7,0,0,0,1,1,0,1
64,7,1,1,4,2,5,3,6,7,1,1,1,0,0,0,0
65,7,-1,1,4,2,5,3,6,7,1,1,0,0,1,1,1
66,7,-1,1,4,2,5,3,6,7,1,0,1,1,0,1,1
67,7,1,1,4,2,5,3,6,7,1,0,0,1,1,0,0
68,7,-1,1,4,2,5,3,6,7,0,1,1,1,1,0,1
69,7,1,1,4,2,5,3,6,7,0,1,0,1,0,1,0
70,7,1,1,4,2,5,3,6,7,0,0,1,0,1,1,0
71,7,-1,1,4,2,5,3,6,7,0,0,0,0,0,0,1
104,7,-1,1,5,3,4,2,6,7,1,1,1,1,1,1,1
105,7,1,1,5,3,4,2,6,7,1,1,0,1,0,0,0
106,7,1,1,5,3,4,2,6,7,1,0,1,0,1,0,0
107,7,-1,1,5,3,4,2,6,7,1,0,0,0,0,1,1
108,7,1,1,5,3,4,2,6,7,0,1,1,0,0,1,0
109,7,-1,1,5,3,4,2,6,7,0,1,0,0,1,0,1
110,7,-1,1,5,3,4,2,6,7,0,0,1,1,0,0,1
111,7,1,1,5,3,4,2,6,7,0,0,0,1,1,1,0
192,7,1,2,1,4,3,6,5,7,1,1,1,1,0,1,0
193,7,-1,2,1,4,3,6,5,7,1,1,0,1,1,0,1
194,7,-1,2,1,4,3,6,5,7,1,0,1,0,0,0,1
195,7,1,2,1,4,3,6,5,7,1,0,0,0,1,1,0
196,7,-1,2,1,4,3,6,5,7,0,1,1,0,1,1,1
197,7,1,2,1,4,3,6,5,7,0,1,0,0,0,0,0
198,7,1,2,1,4,3,6,5,7,0,0,1,1,1,0,0
199,7,-1,2,1,4,3,6,5,7,0,0,0,1,0,1,1
240,7,1,2,3,6,1,4,5,7,1,1,1,0,1,1,0
241,7,-1,2,3,6,1,4,5,7,1,1,0,0,0,0,1
242,7,-1,2,3,6,1,4,5,7,1,0,1,1,1,0,1
243,7,1,2,3,6,1,4,5,7,1,0,0,1,0,1,0
244,7,-1,2,3,6,1,4,5,7,0,1,1,1,0,1,1
245,7,1,2,3,6,1,4,5,7,0,1,0,1,1,0,0
246,7,1,2,3,6,1,4,5,7,0,0,1,0,0,0,0
247,7,-1,2,3,6,1,4,5,7,0,0,0,0,1,1,1
256,7,-1,2,4,1,6,3,5,7,1,1,1,0,1,0,1
257,7,1,2,4,1,6,3,5,7,1,1,0,0,0,1,0
258,7,1,2,4,1,6,3,5,7,1,0,1,1,1,1,0
259,7,-1,2,4,1,6,3,5,7,1,0,0,1,0,0,1
260,7,1,2,4,1,6,3,5,7,0,1,1,1,0,0,0
261,7,-1,2,4,1,6,3,5,7,0,1,0,1,1,1,1
262,7,-1,2,4,1,6,3,5,7,0,0,1,0,0,1,1
263,7,1,2,4,1,6,3,5,7,0,0,0,0,1,0,0
328,7,-1,2,6,3,4,1,5,7,1,1,1,1,0,0,1
329,7,1,2,6,3,4,1,5,7,1,1,0,1,1,1,0
330,7,1,2,6,3,4,1,5,7,1,0,1,0,0,1,0
331,7,-1,2,6,3,4,1,5,7,1,0,0,0,1,0,1
332,7,1,2,6,3,4,1,5,7,0,1,1,0,1,0,0
333,7,-1,2,6,3,4,1,5,7,0,1,0,0,0,1,1
334,7,-1,2,6,3,4,1,5,7,0,0,1,1,1,1,1
335,7,1,2,6,3,4,1,5,7,0,0,0,1,0,0,0
392,7,-1,3,1,5,2,6,4,7,1,1,1,0,1,0,1
393,7,1,3,1,5,2,6,4,7,1,1,0,0,0,1,0
394,7,1,3,1,5,2,6,4,7,1,0,1,1,1,1,0
395,7,-1,3,1,5,2,6,4,7,1,0,0,1,0,0,1
396,7,1,3,1,5,2,6,4,7,0,1,1,1,0,0,0
397,7,-1,3,1,5,2,6,4,7,0,1,0,1,1,1,1
398,7,-1,3,1,5,2,6,4,7,0,0,1,0,0,1,1
399,7,1,3,1,5,2,6,4,7,0,0,0,0,1,0,0
432,7,-1,3,2,6,1,5,4,7,1,1,1,1,0,0,1
433,7,1,3,2,6,1,5,4,7,1,1,0,1,1,1,0
434,7,1,3,2,6,1,5,4,7,1,0,1,0,0,1,0
435,7,-1,3,2,6,1,5,4,7,1,0,0,0,1,0,1
436,7,1,3,2,6,1,5,4,7,0,1,1,0,1,0,0
437,7,-1,3,2,6,1,5,4,7,0,1,0,0,0,1,1
438,7,-1,3,2,6,1,5,4,7,0,0,1,1,1,1,1
439,7,1,3,2,6,1,5,4,7,0,0,0,1,0,0,0
480,7,1,3,5,1,6,2,4,7,1,1,1,1,0,1,0
481,7,-1,3,5,1,6,2,4,7,1,1,0,1,1,0,1
482,7,-1,3,5,1,6,2,4,7,1,0,1,0,0,0,1
483,7,1,3,5,1,6,2,4,7,1,0,0,0,1,1,0
484,7,-1,3,5,1,6,2,4,7,0,1,1,0,1,1,1
485,7,1,3,5,1,6,2,4,7,0,1,0,0,0,0,0
486,7,1,3,5,1,6,2,4,7,0,0,1,1,1,0,0
487,7,-1,3,5,1,6,2,4,7,0,0,0,1,0,1,1
520,7,1,3,6,2,5,1,4,7,1,1,1,0,1,1,0
521,7,-1,3,6,2,5,1,4,7,1,1,0,0,0,0,1
522,7,-1,3,6,2,5,1,4,7,1,0,1,1,1,0,1
523,7,1,3,6,2,5,1,4,7,1,0,0,1,0,1,0
524,7,-1,3,6,2,5,1,4,7,0,1,1,1,0,1,1
525,7,1,3,6,2,5,1,4,7,0,1,0,1,1,0,0
526,7,1,3,6,2,5,1,4,7,0,0,1,0,0,0,0
527,7,-1,3,6,2,5,1,4,7,0,0,0,0,1,1,1
576,7,-1,4,1,2,5,6,3,7,1,1,1,1,1,1,1
577,7,1,4,1,2,5,6,3,7,1,1,0,1,0,0,0
578,7,1,4,1,2,5,6,3,7,1,0,1,0,1,0,0
579,7,-1,4,1,2,5,6,3,7,1,0,0,0,0,1,1
580,7,1,4,1,2,5,6,3,7,0,1,1,0,0,1,0
581,7,-1,4,1,2,5,6,3,7,0,1,0,0,1,0,1
582,7,-1,4,1,2,5,6,3,7,0,0,1,1,0,0,1
583,7,1,4,1,2,5,6,3,7,0,0,0,1,1,1,0
608,7,1,4,2,1,6,5,3,7,1,1,1,1,1,0,0
609,7,-1,4,2,1,6,5,3,7,1,1,0,1,0,1,1
610,7,-1,4,2,1,6,5,3,7,1,0,1,0,1,1,1
611,7,1,4,2,1,6,5,3,7,1,0,0,0,0,0,0
612,7,-1,4,2,1,6,5,3,7,0,1,1,0,0,0,1
613,7,1,4,2,1,6,5,3,7,0,1,0,0,1,1,0
614,7,1,4,2,1,6,5,3,7,0,0,1,1,0,1,0
615,7,-1,4,2,1,6,5,3,7,0,0,0,1,1,0,1
688,7,1,4,5,6,1,2,3,7,1,1,1,0,0,0,0
689,7,-1,4,5,6,1,2,3,7,1,1,0,0,1,1,1
690,7,-1,4,5,6,1,2,3,7,1,0,1,1,0,1,1
691,7,1,4,5,6,1,2,3,7,1,0,0,1,1,0,0
692,7,-1,4,5,6,1,2,3,7,0,1,1,1,1,0,1
693,7,1,4,5,6,1,2,3,7,0,1,0,1,0,1,0
694,7,1,4,5,6,1,2,3,7,0,0,1,0,1,1,0
695,7,-1,4,5,6,1,2,3,7,0,0,0,0,0,0,1
720,7,-1,4,6,5,2,1,3,7,1,1,1,0,0,1,1
721,7,1,4,6,5,2,1,3,7,1,1,0,0,1,0,0
722,7,1,4,6,5,2,1,3,7,1,0,1,1,0,0,0
723,7,-1,4,6,5,2,1,3,7,1,0,0,1,1,1,1
724,7,1,4,6,5,2,1,3,7,0,1,1,1,1,1,0
725,7,-1,4,6,5,2,1,3,7,0,1,0,1,0,0,1
726,7,-1,4,6,5,2,1,3,7,0,0,1,0,1,0,1
727,7,1,4,6,5,2,1,3,7,0,0,0,0,0,1,0
776,7,1,5,1,3,4,6,2,7,1,1,1,0,0,0,0
777,7,-1,5,1,3,4,6,2,7,1,1,0,0,1,1,1
778,7,-1,5,1,3,4,6,2,7,1,0,1,1,0,1,1
779,7,1,5,1,3,4,6,2,7,1,0,0,1,1,0,0
780,7,-1,5,1,3,4,6,2,7,0,1,1,1,1,0,1
781,7,1,5,1,3,4,6,2,7,0,1,0,1,0,1,0
782,7,1,5,1,3,4,6,2,7,0,0,1,0,1,1,0
783,7,-1,5,1,3,4,6,2,7,0,0,0,0,0,0,1
832,7,-1,5,3,1,6,4,2,7,1,1,1,0,0,1,1
833,7,1,5,3,1,6,4,2,7,1,1,0,0,1,0,0
834,7,1,5,3,1,6,4,2,7,1,0,1,1,0,0,0
835,7,-1,5,3,1,6,4,2,7,1,0,0,1,1,1,1
836,7,1,5,3,1,6,4,2,7,0,1,1,1,1,1,0
837,7,-1,5,3,1,6,4,2,7,0,1,0,1,0,0,1
838,7,-1,5,3,1,6,4,2,7,0,0,1,0,1,0,1
839,7,1,5,3,1,6,4,2,7,0,0,0,0,0,1,0
880,7,-1,5,4,6,1,3,2,7,1,1,1,1,1,1,1
881,7,1,5,4,6,1,3,2,7,1,1,0,1,0,0,0
882,7,1,5,4,6,1,3,2,7,1,0,1,0,1,0,0
883,7,-1,5,4,6,1,3,2,7,1,0,0,0,0,1,1
884,7,1,5,4,6,1,3,2,7,0,1,1,0,0,1,0
885,7,-1,5,4,6,1,3,2,7,0,1,0,0,1,0,1
886,7,-1,5,4,6,1,3,2,7,0,0,1,1,0,0,1
887,7,1,5,4,6,1,3,2,7,0,0,0,1,1,1,0
912,7,1,5,6,4,3,1,2,7,1,1,1,1,1,0,0
913,7,-1,5,6,4,3,1,2,7,1,1,0,1,0,1,1
914,7,-1,5,6,4,3,1,2,7,1,0,1,0,1,1,1
915,7,1,5,6,4,3,1,2,7,1,0,0,0,0,0,0
916,7,-1,5,6,4,3,1,2,7,0,1,1,0,0,0,1
917,7,1,5,6,4,3,1,2,7,0,1,0,0,1,1,0
918,7,1,5,6,4,3,1,2,7,0,0,1,1,0,1,0
919,7,-1,5,6,4,3,1,2,7,0,0,0,1,1,0,1
1000,7,1,6,2,3,4,5,1,7,1,1,1,0,1,1,0
1001,7,-1,6,2,3,4,5,1,7,1,1,0,0,0,0,1
1002,7,-1,6,2,3,4,5,1,7,1,0,1,1,1,0,1
1003,7,1,6,2,3,4,5,1,7,1,0,0,1,0,1,0
1004,7,-1,6,2,3,4,5,1,7,0,1,1,1,0,1,1
1005,7,1,6,2,3,4,5,1,7,0,1,0,1,1,0,0
1006,7,1,6,2,3,4,5,1,7,0,0,1,0,0,0,0
1007,7,-1,6,2,3,4,5,1,7,0,0,0,0,1,1,1
1032,7,-1,6,3,2,5,4,1,7,1,1,1,1,0,0,1
1033,7,1,6,3,2,5,4,1,7,1,1,0,1,1,1,0
1034,7,1,6,3,2,5,4,1,7,1,0,1,0,0,1,0
1035,7,-1,6,3,2,5,4,1,7,1,0,0,0,1,0,1
1036,7,1,6,3,2,5,4,1,7,0,1,1,0,1,0,0
1037,7,-1,6,3,2,5,4,1,7,0,1,0,0,0,1,1
1038,7,-1,6,3,2,5,4,1,7,0,0,1,1,1,1,1
1039,7,1,6,3,2,5,4,1,7,0,0,0,1,0,0,0
1072,7,1,6,4,5,2,3,1,7,1,1,1,1,0,1,0
1073,7,-1,6,4,5,2,3,1,7,1,1,0,1,1,0,1
1074,7,-1,6,4,5,2,3,1,7,1,0,1,0,0,0,1
1075,7,1,6,4,5,2,3,1,7,1,0,0,0,1,1,0
